,"Turizm geliri
Tourism income ","Kisisel Harcamalar
    Individual expenditures ","Paket tur harcamalari (ulkemize kalan pay) 
   Package tour expenditures (Share of Turkey) ","     Yeme icme 
Food and beverage  ","     Konaklama 
Accommodation","     Saglik 
Health","     Ulastirma (Turkiye ici)
 Transport (Inside Turkey)","     Spor, egitim, kultur Sports, education, culture","     Tur hizmetleri 
Tour services","     Yerli uluslararasi ulastirma International transportation by Turkish 
     company ","     Diger mal ve hizmetler Other goods 
     and services ","         Giyecek ve ayakkabi 
Clothes and shoes","         Hediyelik esya 
Souvenirs","         Diger harcamalar 
Other expenditures"
2012,   6 365 679,   6 279 618,    86 061,   2 315 362,    226 564,    218 938,    534 543,    30 208,    6 586,   1 144 134,   1 803 283,    769 291,    392 995,    640 997
2013,   6 776 776,   6 646 572,    130 204,   2 373 532,    253 913,    237 400,    521 609,    23 552,    7 746,   1 239 746,   1 989 075,    877 867,    423 393,    687 815
2014,   6 301 489,   6 184 951,    116 538,   2 185 405,    320 513,    243 764,    549 535,    18 389,    7 588,   1 194 156,   1 665 602,    773 149,    410 428,    482 025
2015,   6 052 415,   5 961 661,    90 754,   1 959 902,    306 381,    197 074,    630 222,    69 974,    3 549,   1 238 172,   1 556 388,    670 638,    324 715,    561 035
2016,   6 184 432,   6 110 260,    74 172,   1 961 818,    281 000,    286 185,    646 182,    74 980,    2 524,   1 195 466,   1 662 104,    724 026,    310 866,    627 213
2017,   6 076 804,   5 953 727,    123 077,   1 856 686,    286 516,    234 552,    602 497,    49 491,    2 789,   1 305 502,   1 615 693,    719 222,    361 721,    534 750
2018,   5 511 261,   5 279 340,    231 921,   1 556 278,    304 826,    172 336,    521 935,    57 872,    3 995,   1 260 767,   1 401 332,    614 349,    294 806,    492 177
2019,   5 896 124,   5 664 202,    231 922,   1 679 499,    302 796,    196 157,    572 432,    59 799,    4 475,   1 335 946,   1 513 098,    741 570,    295 777,    475 752
2020,   2 965 813,   2 905 716,    60 097,    953 183,    118 094,    105 575,    259 001,    18 317,    1 251,    678 402,    771 894,    398 026,    140 465,    233 403
2021,   5 830 953,   5 726 755,    104 198,   1 665 767,    286 477,    247 608,    489 065,    34 487,    2 196,   1 319 665,   1 681 491,    781 535,    288 547,    611 409
2022,   7 067 152,   6 831 060,    236 092,   1 963 597,    361 429,    300 226,    589 604,    60 060,    3 923,   1 793 384,   1 758 837,    918 778,    364 589,    475 470
